District IRN,District Name,County,Region,Achievement Component Star Rating,Performance Index Percent 2023-2024,Performance Index Score 2023-2024,Maximum District Performance Index Score 2023-2024,Percent of Students Not Tested,Percent of Students Limited,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accomplished,Percent of Students Advanced,Percent of Students Advanced Plus,Performance Index Score 2022-2023,Performance Index Score 2021-2022,Number of General Education Teachers FTE,Expenditures per Equivalent Pupil - State and Local Funds
047738,South Central Local,Huron,Region 2,3  Stars,76.8,83.9,109.3,2.2,16.5,19.7,24.8,19.5,16.8,0.6,86.1,85.1,42.4,"   $11,352"
047746,Western Reserve Local,Huron,Region 2,3  Stars,75.7,82.7,109.3,0.0,21.0,18.5,27.4,18.0,14.8,0.3,83.4,82.3,44,"   $11,720"
047761,Oak Hill Union Local,Jackson,Region 16,3  Stars,75.7,82.8,109.3,0.7,19.8,18.6,28.7,17.6,14.6,0.0,85.7,86.0,64,"    $9,517"
047787,Buckeye Local,Jefferson,Region 12,2  Stars,69.2,75.6,109.3,0.5,26.7,21.3,26.8,15.7,8.9,0.0,80.7,76.5,83.6,"   $11,379"
047795,Edison Local,Jefferson,Region 12,4  Stars,81.6,89.1,109.3,0.4,15.1,15.8,25.9,21.8,20.8,0.2,84.6,80.9,59.9,"   $10,946"
047803,Indian Creek Local,Jefferson,Region 12,3  Stars,75.9,82.9,109.3,1.7,18.0,18.5,29.6,19.5,12.4,0.3,79.0,75.3,83.7,"    $8,151"
047829,Centerburg Local,Knox,Region 7,4  Stars,85.7,93.7,109.3,0.3,11.1,13.2,28.2,24.5,22.8,0.0,92.8,88.9,49.4,"   $10,417"
047837,Danville Local,Knox,Region 7,3  Stars,79.4,86.8,109.3,0.0,15.9,19.6,24.2,23.0,17.3,0.0,87.5,83.4,36,"   $11,199"
047845,East Knox Local,Knox,Region 7,3  Stars,74.3,81.2,109.3,0.7,20.5,20.9,26.4,18.1,13.5,0.1,78.7,80.3,49.1,"   $11,304"
047852,Fredericktown Local,Knox,Region 7,4  Stars,83.2,90.9,109.3,0.4,11.0,17.8,29.9,20.9,19.9,0.1,93.3,93.1,54.3,"    $9,121"
047878,Kirtland Local,Lake,Region 4,5  Stars,93.4,102.1,109.3,0.3,5.9,9.3,22.7,25.0,33.1,3.7,101.0,97.5,57,"   $13,077"
047886,Madison Local,Lake,Region 4,3  Stars,78.2,85.4,109.3,1.1,17.4,17.3,26.7,19.6,17.6,0.3,84.9,82.9,107.6,"    $9,176"
047894,Riverside Local,Lake,Region 4,4  Stars,82.9,90.5,109.3,0.5,13.3,15.8,26.8,21.9,20.7,1.0,89.3,86.6,175.5,"   $11,561"
047902,Perry Local,Lake,Region 4,4  Stars,85.1,93.0,109.3,0.0,12.0,14.3,27.3,23.1,21.4,1.9,92.1,90.2,74.2,"   $14,292"
047928,Dawson-Bryant Local,Lawrence,Region 15,3  Stars,76.7,83.8,109.3,0.4,20.6,16.3,26.7,21.0,14.9,0.2,86.2,81.3,62,"    $9,073"
047936,Fairland Local,Lawrence,Region 15,3  Stars,79.2,86.6,109.3,0.6,17.8,16.2,24.8,20.9,19.3,0.4,87.9,85.2,66.6,"    $8,533"
047944,Rock Hill Local,Lawrence,Region 15,3  Stars,70.6,77.2,109.3,0.2,27.1,19.3,25.1,15.7,12.1,0.4,76.9,77.0,84,"   $12,304"
047951,South Point Local,Lawrence,Region 15,2  Stars,69.7,76.1,109.3,1.6,26.2,20.0,23.2,17.5,11.5,0.0,77.3,76.0,73,"   $10,576"
047969,Symmes Valley Local,Lawrence,Region 15,3  Stars,74.7,81.7,109.3,0.3,22.6,17.9,25.9,17.7,15.5,0.1,82.0,80.9,46.6,"   $11,633"
047985,Johnstown-Monroe Local,Licking,Region 11,4  Stars,87.2,95.2,109.3,0.3,9.8,13.6,25.4,24.1,26.0,0.7,96.0,92.2,77.1,"   $12,008"
047993,Lakewood Local,Licking,Region 11,3  Stars,77.6,84.8,109.3,0.4,19.1,17.5,27.3,17.7,15.7,2.3,84.8,81.9,89,"   $12,005"
048009,Licking Heights Local,Licking,Region 11,3  Stars,76.6,83.7,109.3,0.2,19.9,19.1,26.2,17.6,14.4,2.7,81.9,81.6,209.2,"    $8,196"
048017,Licking Valley Local,Licking,Region 11,3  Stars,76.9,84.1,109.3,0.0,17.4,20.5,30.6,18.7,12.2,0.6,83.5,80.5,106,"    $9,026"
048025,North Fork Local,Licking,Region 11,3  Stars,75.6,82.6,109.3,0.7,19.5,19.3,27.2,19.9,12.9,0.4,83.0,80.2,82.6,"   $11,156"
048033,Northridge Local,Licking,Region 11,4  Stars,80.0,87.4,109.3,0.2,16.8,16.3,28.7,19.0,17.8,1.3,86.3,84.0,53.9,"   $11,767"
048041,Southwest Licking Local,Licking,Region 11,4  Stars,82.1,89.7,109.3,0.6,14.8,15.0,26.1,21.8,20.6,1.0,88.7,87.1,186,"    $8,416"
048074,Benjamin Logan Local,Logan,Region 6,4  Stars,83.9,91.6,109.3,0.1,12.8,15.2,26.8,23.2,21.1,0.8,90.2,91.2,79.5,"   $10,600"
048082,Indian Lake Local,Logan,Region 6,4  Stars,83.4,91.2,109.3,0.1,14.2,14.8,25.8,21.1,21.2,2.7,93.0,90.9,70.6,"   $10,990"
048090,Riverside Local,Logan,Region 6,3  Stars,77.5,84.7,109.3,0.1,17.2,19.3,30.7,20.3,11.5,0.8,85.3,86.6,36.3,"   $13,424"
048116,Avon Local,Lorain,Region 2,5  Stars,93.2,101.8,109.3,0.1,7.9,8.9,20.6,20.9,34.8,6.7,102.2,101.1,178.5,"    $9,910"
048124,Avon Lake City,Lorain,Region 2,5  Stars,93.4,102.0,109.3,0.5,6.4,8.6,20.4,25.9,36.0,2.1,101.8,99.6,171.2,"   $12,475"
048132,Clearview Local,Lorain,Region 2,2  Stars,61.9,67.7,109.3,2.2,33.7,22.9,22.8,11.6,6.8,0.1,70.0,70.4,75.5,"   $11,388"
